link_id,time_index,utilization,latency_proxy,queue_proxy,variance,is_missing,staleness_count,disagreement,util_original,confidence
CHINng__IPLSng,7,0.246915,6.639,0.0,0.029897,False,0,0.034218,0.246915,0.882033
CHINng__NYCMng,7,,,,0.023101,True,0,0.009154,0.198,0.515421
DNVRng__KSCYng,7,0.19721,6.228,0.0,0.021672,False,0,0.053822,0.19721,0.855735
DNVRng__SNVAng,7,0.060881,5.324,0.0,0.016515,False,0,0.086469,0.060881,0.796375
HSTNng__KSCYng,7,0.473404,9.495,0.0,0.023949,False,0,0.011362,0.473404,0.941009
IPLSng__KSCYng,7,0.318551,7.337,0.0,0.035413,False,0,0.055571,0.318551,0.827011
KSCYng__SNVAng,7,0.550289,11.118,0.0,0.052793,False,0,0.044694,0.550289,0.818246
LOSAng__SNVAng,7,,,,0.021228,True,0,0.039,0.241578,0.455975
NYCMng__WASHng,7,0.032402,5.167,0.0,0.005981,False,0,0.008246,0.032402,0.980317
SNVAng__STTLng,7,0.277431,6.92,0.0,0.024726,False,0,0.024046,0.277431,0.91288
ATLAM5__ATLAng,8,0.267312,6.824,0.0,0.030177,False,0,0.092302,0.267312,0.759192
ATLAng__CHINng,8,0.117141,5.663,0.0,0.018795,False,0,0.018755,0.117141,0.934831
ATLAng__HSTNng,8,,,,0.01698,True,0,0.067358,0.475967,0.403993
ATLAng__IPLSng,8,0.078022,5.423,0.0,0.012861,False,0,0.078255,0.078022,0.820334
ATLAng__WASHng,8,0.200261,6.252,0.0,0.024511,False,0,0.009153,0.200261,0.944638
CHINng__IPLSng,8,0.31798,7.331,0.0,0.038597,False,0,0.024523,0.31798,0.886597
CHINng__NYCMng,8,,,,0.032378,True,0,0.019304,0.258821,0.477137
DNVRng__KSCYng,8,0.162634,5.971,0.0,0.021967,False,0,0.050336,0.162634,0.862539
DNVRng__SNVAng,8,0.048916,5.257,0.0,0.01599,False,0,0.102712,0.048916,0.763121
HSTNng__KSCYng,8,,,,0.023491,True,0,0.020243,0.461111,0.491357
IPLSng__KSCYng,8,0.318551,7.337,0.0,0.043401,False,1,0.044801,0.403783,0.719992
KSCYng__SNVAng,8,0.61752,13.073,0.0,0.056363,False,0,0.045214,0.61752,0.810644
LOSAng__SNVAng,8,0.254308,6.705,0.0,0.026179,False,0,0.010897,0.254308,0.937926
NYCMng__WASHng,8,0.022703,5.116,0.0,0.00561,False,0,0.008637,0.022703,0.98017
SNVAng__STTLng,8,0.241169,6.589,0.0,0.024177,False,0,0.000282,0.241169,0.96393
ATLAM5__ATLAng,9,0.254494,6.707,0.0,0.030201,False,0,0.045985,0.254494,0.856696
ATLAng__CHINng,9,0.155207,5.919,0.0,0.01909,False,0,0.078426,0.155207,0.808622
ATLAng__HSTNng,9,0.501736,10.035,0.0,0.01838,False,0,0.031505,0.501736,0.908736
ATLAng__IPLSng,9,0.085658,5.468,0.0,0.012892,False,0,0.025017,0.085658,0.932401
ATLAng__WASHng,9,0.250087,6.667,0.0,0.023575,False,0,0.048971,0.250087,0.862484
CHINng__IPLSng,9,0.268324,6.834,0.0,0.036611,False,0,0.005542,0.268324,0.930193
CHINng__NYCMng,9,0.227091,6.469,0.0,0.032528,False,0,0.01502,0.227091,0.917673
DNVRng__KSCYng,9,0.20775,6.311,0.0,0.022039,False,0,0.007616,0.20775,0.952381
DNVRng__SNVAng,9,0.103121,5.575,0.0,0.015572,False,0,0.012963,0.103121,0.952904
HSTNng__KSCYng,9,0.481521,9.644,0.0,0.026055,False,0,0.017587,0.481521,0.92406
IPLSng__KSCYng,9,0.355131,7.754,0.0,0.039876,False,0,0.029461,0.355131,0.873867
KSCYng__SNVAng,9,0.538349,10.831,0.0,0.05115,False,0,0.130058,0.538349,0.641454
LOSAng__SNVAng,9,0.213585,6.358,0.0,0.024791,False,0,0.001561,0.213585,0.960118
NYCMng__WASHng,9,0.032989,5.171,0.0,0.006109,False,0,0.06942,0.032989,0.851246
SNVAng__STTLng,9,0.275556,6.902,0.0,0.023673,False,0,0.025571,0.275556,0.911587
ATLAM5__ATLAng,10,,,,0.031283,True,0,0.009243,0.218314,0.500322
ATLAng__CHINng,10,0.13437,5.776,0.0,0.019459,False,0,0.039402,0.13437,0.890137
ATLAng__HSTNng,10,0.464918,9.344,0.0,0.020512,False,0,0.04687,0.464918,0.87249
ATLAng__IPLSng,10,0.09785,5.542,0.0,0.013541,False,0,0.03873,0.09785,0.902338
ATLAng__WASHng,10,0.18964,6.17,0.0,0.023589,False,0,0.013177,0.18964,0.937844
CHINng__IPLSng,10,0.287576,7.018,0.0,0.031962,False,0,0.030072,0.287576,0.887002
CHINng__NYCMng,10,0.22962,6.49,0.0,0.033094,False,0,0.010847,0.22962,0.92543
DNVRng__KSCYng,10,0.199868,6.249,0.0,0.019985,False,0,0.013736,0.199868,0.943234
DNVRng__SNVAng,10,0.074384,5.402,0.0,0.015565,False,0,0.00072,0.074384,0.978702
HSTNng__KSCYng,10,0.469143,9.419,0.0,0.023333,False,0,0.007753,0.469143,0.949733
IPLSng__KSCYng,10,0.348722,7.677,0.0,0.034732,False,0,0.004643,0.348722,0.935511
KSCYng__SNVAng,10,0.54111,10.896,0.0,0.05078,False,0,0.012351,0.54111,0.890031
LOSAng__SNVAng,10,0.258162,6.74,0.0,0.023337,False,0,0.060133,0.258162,0.839409
NYCMng__WASHng,10,,,,0.00603,True,0,0.069987,0.020581,0.418411
SNVAng__STTLng,10,0.27247,6.873,0.0,0.019627,False,0,0.091301,0.27247,0.780525
ATLAM5__ATLAng,11,,,,0.030861,True,0,0.069537,0.324563,0.374107
ATLAng__CHINng,11,0.151265,5.891,0.0,0.019224,False,0,0.032846,0.151265,0.904372
ATLAng__HSTNng,11,0.515426,10.318,0.0,0.020613,False,0,0.055086,0.515426,0.855002
ATLAng__IPLSng,11,0.098864,5.549,0.0,0.01356,False,0,0.049691,0.098864,0.879217
ATLAng__WASHng,11,0.240611,6.584,0.0,0.024751,False,0,0.063013,0.240611,0.830767
CHINng__IPLSng,11,0.265293,6.805,0.0,0.032383,False,0,0.045207,0.265293,0.854361
CHINng__NYCMng,11,0.211816,6.344,0.0,0.033302,False,0,0.087928,0.211816,0.762709
DNVRng__KSCYng,11,0.236431,6.548,0.0,0.019952,False,0,0.041131,0.236431,0.885598
DNVRng__SNVAng,11,0.093542,5.516,0.0,0.015526,False,0,0.096681,0.093542,0.77667
HSTNng__KSCYng,11,0.484499,9.699,0.0,0.023145,False,0,0.090029,0.484499,0.776795
IPLSng__KSCYng,11,0.314681,7.296,0.0,0.03851,False,0,0.081339,0.314681,0.767095
KSCYng__SNVAng,11,0.487459,9.755,0.0,0.048269,False,0,0.011385,0.487459,0.896643
LOSAng__SNVAng,11,0.273809,6.885,0.0,0.025863,False,0,0.035784,0.273809,0.886087
NYCMng__WASHng,11,0.020581,5.105,0.0,0.005959,False,1,0.048175,0.018951,0.781119
SNVAng__STTLng,11,0.267473,6.826,0.0,0.019511,False,0,0.021465,0.267473,0.927819
ATLAM5__ATLAng,12,0.240672,6.585,0.0,0.030881,False,0,0.006196,0.240672,0.939258
ATLAng__CHINng,12,0.102188,5.569,0.0,0.01779,False,0,0.071692,0.102188,0.825174
ATLAng__HSTNng,12,0.46717,9.384,0.0,0.021539,False,0,0.024351,0.46717,0.918047
ATLAng__IPLSng,12,0.10603,5.593,0.0,0.013511,False,0,0.01536,0.10603,0.951611
ATLAng__WASHng,12,0.251435,6.679,0.0,0.024682,False,0,0.097748,0.251435,0.757737
CHINng__IPLSng,12,0.286114,7.004,0.0,0.032416,False,0,0.020129,0.286114,0.907116
CHINng__NYCMng,12,0.211816,6.344,0.0,0.033588,False,1,0.074959,0.205318,0.67436
DNVRng__KSCYng,12,0.173683,6.051,0.0,0.019626,False,0,0.05208,0.173683,0.863132
DNVRng__SNVAng,12,0.066217,5.355,0.0,0.015475,False,0,0.068947,0.066217,0.835172
HSTNng__KSCYng,12,0.445212,9.012,0.0,0.021851,False,0,0.006155,0.445212,0.955801
IPLSng__KSCYng,12,0.361787,7.834,0.0,0.037991,False,0,0.065494,0.361787,0.801413
KSCYng__SNVAng,12,,,,0.047511,True,1,0.092892,0.563887,0.179434
LOSAng__SNVAng,12,0.231243,6.504,0.0,0.025838,False,0,0.016699,0.231243,0.926326
NYCMng__WASHng,12,0.018717,5.095,0.0,0.007066,False,0,0.027705,0.018717,0.937357
SNVAng__STTLng,12,,,,0.018205,True,0,0.017936,0.28719,0.505848
ATLAM5__ATLAng,13,0.238761,6.568,0.0,0.037673,False,0,0.039585,0.238761,0.856559
ATLAng__CHINng,13,0.13436,5.776,0.0,0.022584,False,0,0.068865,0.13436,0.822392
ATLAng__HSTNng,13,0.481327,9.64,0.0,0.028457,False,0,0.053742,0.481327,0.843538
ATLAng__IPLSng,13,0.105975,5.593,0.0,0.010043,False,0,0.00221,0.105975,0.985627
ATLAng__WASHng,13,0.260555,6.762,0.0,0.025069,False,0,0.053249,0.260555,0.85075
CHINng__IPLSng,13,0.358449,7.794,0.0,0.034465,False,0,0.050619,0.358449,0.839167
CHINng__NYCMng,13,0.299577,7.139,0.0,0.03327,False,0,0.075741,0.299577,0.788437
DNVRng__KSCYng,13,0.208569,6.318,0.0,0.020023,False,0,0.008112,0.208569,0.95501
DNVRng__SNVAng,13,0.055022,5.291,0.0,0.015024,False,0,0.018623,0.055022,0.941983
HSTNng__KSCYng,13,0.453942,9.157,0.0,0.024507,False,0,0.08866,0.453942,0.777195
IPLSng__KSCYng,13,0.428832,8.754,0.0,0.040657,False,0,0.009102,0.428832,0.915322
KSCYng__SNVAng,13,0.602711,12.585,0.0,0.039519,False,0,0.046263,0.602711,0.839131
LOSAng__SNVAng,13,0.295286,7.095,0.0,0.025564,False,0,0.039357,0.295286,0.879107
NYCMng__WASHng,13,0.017901,5.091,0.0,0.007057,False,0,0.048193,0.017901,0.894224
SNVAng__STTLng,13,,,,0.020386,True,0,0.028714,0.254957,0.479173
ATLAM5__ATLAng,14,0.255999,6.72,0.0,0.03772,False,0,0.010215,0.255999,0.91833
ATLAng__CHINng,14,0.159766,5.951,0.0,0.023092,False,0,0.017167,0.159766,0.930346
ATLAng__HSTNng,14,0.451364,9.114,0.0,0.028201,False,0,0.034928,0.451364,0.883631
ATLAng__IPLSng,14,0.092935,5.512,0.0,0.010066,False,0,0.041606,0.092935,0.902615
ATLAng__WASHng,14,0.2051,6.29,0.0,0.025305,False,0,0.045622,0.2051,0.866385
CHINng__IPLSng,14,0.319854,7.351,0.0,0.032507,False,0,0.019944,0.319854,0.907341
CHINng__NYCMng,14,0.275825,6.904,0.0,0.031873,False,0,0.017863,0.275825,0.912877
DNVRng__KSCYng,14,0.188871,6.164,0.0,0.020131,False,0,0.101411,0.188871,0.758316
DNVRng__SNVAng,14,0.072084,5.388,0.0,0.015881,False,0,0.034764,0.072084,0.906426
HSTNng__KSCYng,14,0.41199,8.503,0.0,0.028109,False,0,0.053776,0.41199,0.844101
IPLSng__KSCYng,14,0.388595,8.178,0.0,0.039721,False,0,0.032362,0.388595,0.86804
KSCYng__SNVAng,14,0.545868,11.01,0.0,0.040925,False,0,0.081043,0.545868,0.763318
LOSAng__SNVAng,14,0.21271,6.351,0.0,0.025909,False,0,0.022666,0.21271,0.91363
NYCMng__WASHng,14,0.013737,5.07,0.0,0.007637,False,0,0.117628,0.013737,0.746929
SNVAng__STTLng,14,,,,0.024666,True,0,0.112296,0.29412,0.295342
ATLAM5__ATLAng,15,0.218881,6.401,0.0,0.038871,False,0,0.040196,0.218881,0.853089
ATLAng__CHINng,15,0.129159,5.742,0.0,0.022634,False,0,0.05711,0.129159,0.847056
ATLAng__HSTNng,15,0.443733,8.988,0.0,0.04006,False,0,0.121331,0.443733,0.680045
ATLAng__IPLSng,15,0.075635,5.409,0.0,0.010995,False,0,0.027348,0.075635,0.930948
ATLAng__WASHng,15,0.22265,6.432,0.0,0.026163,False,0,0.004858,0.22265,0.950675
CHINng__IPLSng,15,0.249734,6.664,0.0,0.031163,False,0,0.066548,0.249734,0.811637
CHINng__NYCMng,15,0.193055,6.196,0.0,0.0307,False,0,0.035409,0.193055,0.878061
DNVRng__KSCYng,15,0.19944,6.246,0.0,0.017931,False,0,0.038991,0.19944,0.893789
DNVRng__SNVAng,15,0.069575,5.374,0.0,0.014574,False,0,0.017141,0.069575,0.945925
HSTNng__KSCYng,15,0.444844,9.006,0.0,0.033301,False,0,0.002368,0.444844,0.94291
IPLSng__KSCYng,15,0.322235,7.377,0.0,0.036254,False,0,0.010485,0.322235,0.920433
KSCYng__SNVAng,15,0.531757,10.678,0.0,0.045061,False,0,0.040672,0.531757,0.840805
LOSAng__SNVAng,15,0.241264,6.59,0.0,0.026046,False,0,0.042375,0.241264,0.871872
NYCMng__WASHng,15,0.021494,5.11,0.0,0.007658,False,0,0.023959,0.021494,0.944168
SNVAng__STTLng,15,0.252502,6.689,0.0,0.02394,False,0,0.031,0.252502,0.899668
ATLAM5__ATLAng,16,0.248997,6.658,0.0,0.040912,False,0,0.038537,0.248997,0.852864
ATLAng__CHINng,16,0.137315,5.796,0.0,0.022832,False,0,0.057862,0.137315,0.845111
ATLAng__HSTNng,16,0.463074,9.312,0.0,0.039103,False,0,0.032537,0.463074,0.868798
ATLAng__IPLSng,16,0.084643,5.462,0.0,0.013425,False,0,0.013224,0.084643,0.956267
ATLAng__WASHng,16,,,,0.025549,True,0,0.030136,0.263662,0.466768
CHINng__IPLSng,16,0.264227,6.796,0.0,0.031505,False,0,0.038562,0.264227,0.869955
CHINng__NYCMng,16,0.202836,6.272,0.0,0.030724,False,0,0.004203,0.202836,0.943742
DNVRng__KSCYng,16,0.170847,6.03,0.0,0.017526,False,0,0.035201,0.170847,0.902508
DNVRng__SNVAng,16,0.079145,5.43,0.0,0.01119,False,0,0.054947,0.079145,0.872467
HSTNng__KSCYng,16,0.449401,9.081,0.0,0.032798,False,0,0.011987,0.449401,0.923569
IPLSng__KSCYng,16,0.302775,7.171,0.0,0.036973,False,0,0.002603,0.302775,0.935723
KSCYng__SNVAng,16,0.513623,10.28,0.0,0.045198,False,0,0.096671,0.513623,0.722617
LOSAng__SNVAng,16,0.209299,6.324,0.0,0.024771,False,0,0.053602,0.209299,0.850552
NYCMng__WASHng,16,0.021494,5.11,0.0,0.006918,False,1,0.002638,0.017404,0.875279
SNVAng__STTLng,16,0.263181,6.786,0.0,0.02391,False,0,0.040287,0.263181,0.88016
ATLAM5__ATLAng,17,0.23827,6.564,0.0,0.038837,False,0,0.022015,0.23827,0.891443
ATLAng__CHINng,17,0.162001,5.967,0.0,0.023226,False,0,0.008575,0.162001,0.948197
ATLAng__HSTNng,17,0.500837,10.017,0.0,0.04006,False,0,0.018739,0.500837,0.896113
ATLAng__IPLSng,17,0.084874,5.464,0.0,0.013546,False,0,0.02719,0.084874,0.926633
ATLAng__WASHng,17,0.245917,6.631,0.0,0.022061,False,0,0.06712,0.245917,0.827017
CHINng__IPLSng,17,0.29577,7.1,0.0,0.03216,False,0,0.030544,0.29577,0.885647
CHINng__NYCMng,17,0.211207,6.339,0.0,0.030935,False,0,0.025799,0.211207,0.897874
DNVRng__KSCYng,17,0.192762,6.194,0.0,0.018588,False,0,0.013385,0.192762,0.946519
DNVRng__SNVAng,17,0.070585,5.38,0.0,0.011361,False,0,0.031619,0.070585,0.921288
HSTNng__KSCYng,17,0.446872,9.039,0.0,0.03277,False,0,0.038741,0.446872,0.867273
IPLSng__KSCYng,17,0.34968,7.689,0.0,0.037758,False,0,0.090838,0.34968,0.74846
KSCYng__SNVAng,17,0.513623,10.28,0.0,0.045526,False,1,0.054052,0.532965,0.696638
LOSAng__SNVAng,17,0.250069,6.667,0.0,0.025133,False,0,0.043227,0.250069,0.871743
NYCMng__WASHng,17,0.03439,5.178,0.0,0.00691,False,0,0.015109,0.03439,0.96417
SNVAng__STTLng,17,0.268261,6.833,0.0,0.024048,False,0,0.013671,0.268261,0.935966
ATLAM5__ATLAng,18,0.34059,7.583,0.0,0.038132,False,0,0.011084,0.34059,0.915749
ATLAng__CHINng,18,0.187818,6.156,0.0,0.02542,False,0,0.036734,0.187818,0.884895
ATLAng__HSTNng,18,0.539585,10.86,0.0,0.040691,False,0,0.043764,0.539585,0.842259
ATLAng__IPLSng,18,0.095272,5.527,0.0,0.014045,False,0,0.007997,0.095272,0.966145
ATLAng__WASHng,18,0.213667,6.359,0.0,0.025628,False,0,0.003734,0.213667,0.954016
CHINng__IPLSng,18,0.246695,6.637,0.0,0.031871,False,0,0.038171,0.246695,0.870111
CHINng__NYCMng,18,0.227271,6.471,0.0,0.030967,False,0,0.068936,0.227271,0.806964
DNVRng__KSCYng,18,0.180546,6.102,0.0,0.01483,False,0,0.021346,0.180546,0.936601
DNVRng__SNVAng,18,0.06921,5.372,0.0,0.008316,False,0,0.041612,0.06921,0.90579
HSTNng__KSCYng,18,0.50702,10.142,0.0,0.032362,False,0,0.067857,0.50702,0.806695
