link_id,time_index,utilization,latency_proxy,queue_proxy
LOSAng__SNVAng,12,0.231243,6.504,0.0
NYCMng__WASHng,12,0.018717,5.095,0.0
SNVAng__STTLng,12,0.28719,7.014,0.0
ATLAM5__ATLAng,13,0.238761,6.568,0.0
ATLAng__CHINng,13,0.13436,5.776,0.0
ATLAng__HSTNng,13,0.481327,9.64,0.0
ATLAng__IPLSng,13,0.105975,5.593,0.0
ATLAng__WASHng,13,0.260555,6.762,0.0
CHINng__IPLSng,13,0.358449,7.794,0.0
CHINng__NYCMng,13,0.299577,7.139,0.0
DNVRng__KSCYng,13,0.208569,6.318,0.0
DNVRng__SNVAng,13,0.055022,5.291,0.0
HSTNng__KSCYng,13,0.453942,9.157,0.0
IPLSng__KSCYng,13,0.428832,8.754,0.0
KSCYng__SNVAng,13,0.602711,12.585,0.0
LOSAng__SNVAng,13,0.295286,7.095,0.0
NYCMng__WASHng,13,0.017901,5.091,0.0
SNVAng__STTLng,13,0.254957,6.711,0.0
ATLAM5__ATLAng,14,0.255999,6.72,0.0
ATLAng__CHINng,14,0.159766,5.951,0.0
ATLAng__HSTNng,14,0.451364,9.114,0.0
ATLAng__IPLSng,14,0.092935,5.512,0.0
ATLAng__WASHng,14,0.2051,6.29,0.0
CHINng__IPLSng,14,0.319854,7.351,0.0
CHINng__NYCMng,14,0.275825,6.904,0.0
DNVRng__KSCYng,14,0.188871,6.164,0.0
DNVRng__SNVAng,14,0.072084,5.388,0.0
HSTNng__KSCYng,14,0.41199,8.503,0.0
IPLSng__KSCYng,14,0.388595,8.178,0.0
KSCYng__SNVAng,14,0.545868,11.01,0.0
LOSAng__SNVAng,14,0.21271,6.351,0.0
NYCMng__WASHng,14,0.013737,5.07,0.0
SNVAng__STTLng,14,0.29412,7.083,0.0
ATLAM5__ATLAng,15,0.218881,6.401,0.0
ATLAng__CHINng,15,0.129159,5.742,0.0
ATLAng__HSTNng,15,0.443733,8.988,0.0
ATLAng__IPLSng,15,0.075635,5.409,0.0
ATLAng__WASHng,15,0.22265,6.432,0.0
CHINng__IPLSng,15,0.249734,6.664,0.0
CHINng__NYCMng,15,0.193055,6.196,0.0
DNVRng__KSCYng,15,0.19944,6.246,0.0
DNVRng__SNVAng,15,0.069575,5.374,0.0
HSTNng__KSCYng,15,0.444844,9.006,0.0
IPLSng__KSCYng,15,0.322235,7.377,0.0
KSCYng__SNVAng,15,0.531757,10.678,0.0
LOSAng__SNVAng,15,0.241264,6.59,0.0
NYCMng__WASHng,15,0.021494,5.11,0.0
SNVAng__STTLng,15,0.252502,6.689,0.0
ATLAM5__ATLAng,16,0.248997,6.658,0.0
ATLAng__CHINng,16,0.137315,5.796,0.0
ATLAng__HSTNng,16,0.463074,9.312,0.0
ATLAng__IPLSng,16,0.084643,5.462,0.0
ATLAng__WASHng,16,0.263662,6.79,0.0
CHINng__IPLSng,16,0.264227,6.796,0.0
CHINng__NYCMng,16,0.202836,6.272,0.0
DNVRng__KSCYng,16,0.170847,6.03,0.0
DNVRng__SNVAng,16,0.079145,5.43,0.0
HSTNng__KSCYng,16,0.449401,9.081,0.0
IPLSng__KSCYng,16,0.302775,7.171,0.0
KSCYng__SNVAng,16,0.513623,10.28,0.0
LOSAng__SNVAng,16,0.209299,6.324,0.0
NYCMng__WASHng,16,0.017404,5.089,0.0
SNVAng__STTLng,16,0.263181,6.786,0.0
ATLAM5__ATLAng,17,0.23827,6.564,0.0
ATLAng__CHINng,17,0.162001,5.967,0.0
ATLAng__HSTNng,17,0.500837,10.017,0.0
ATLAng__IPLSng,17,0.084874,5.464,0.0
ATLAng__WASHng,17,0.245917,6.631,0.0
CHINng__IPLSng,17,0.29577,7.1,0.0
CHINng__NYCMng,17,0.211207,6.339,0.0
DNVRng__KSCYng,17,0.192762,6.194,0.0
DNVRng__SNVAng,17,0.070585,5.38,0.0
HSTNng__KSCYng,17,0.446872,9.039,0.0
IPLSng__KSCYng,17,0.34968,7.689,0.0
KSCYng__SNVAng,17,0.532965,10.706,0.0
LOSAng__SNVAng,17,0.250069,6.667,0.0
NYCMng__WASHng,17,0.03439,5.178,0.0
SNVAng__STTLng,17,0.268261,6.833,0.0
ATLAM5__ATLAng,18,0.34059,7.583,0.0
ATLAng__CHINng,18,0.187818,6.156,0.0
ATLAng__HSTNng,18,0.539585,10.86,0.0
ATLAng__IPLSng,18,0.095272,5.527,0.0
ATLAng__WASHng,18,0.213667,6.359,0.0
CHINng__IPLSng,18,0.246695,6.637,0.0
CHINng__NYCMng,18,0.227271,6.471,0.0
DNVRng__KSCYng,18,0.180546,6.102,0.0
DNVRng__SNVAng,18,0.06921,5.372,0.0
HSTNng__KSCYng,18,0.50702,10.142,0.0
IPLSng__KSCYng,18,0.303289,7.177,0.0
KSCYng__SNVAng,18,0.610564,12.839,0.0
LOSAng__SNVAng,18,0.236968,6.553,0.0
NYCMng__WASHng,18,0.015908,5.081,0.0
SNVAng__STTLng,18,0.317616,7.327,0.0
ATLAM5__ATLAng,19,0.26672,6.819,0.0
ATLAng__CHINng,19,0.160593,5.957,0.0
ATLAng__HSTNng,19,0.465394,9.353,0.0
ATLAng__IPLSng,19,0.096622,5.535,0.0
ATLAng__WASHng,19,0.249641,6.663,0.0
CHINng__IPLSng,19,0.294689,7.089,0.0
CHINng__NYCMng,19,0.228714,6.483,0.0
DNVRng__KSCYng,19,0.184424,6.131,0.0
DNVRng__SNVAng,19,0.051399,5.271,0.0
HSTNng__KSCYng,19,0.409949,8.474,0.0
IPLSng__KSCYng,19,0.336488,7.536,0.0
KSCYng__SNVAng,19,0.516295,10.337,0.0
LOSAng__SNVAng,19,0.228618,6.482,0.0
NYCMng__WASHng,19,0.036329,5.188,0.0
SNVAng__STTLng,19,0.223841,6.442,0.0
ATLAM5__ATLAng,20,0.225116,6.453,0.0
ATLAng__CHINng,20,0.121747,5.693,0.0
ATLAng__HSTNng,20,0.382619,8.099,0.0
ATLAng__IPLSng,20,0.071609,5.386,0.0
ATLAng__WASHng,20,0.193444,6.199,0.0
CHINng__IPLSng,20,0.278028,6.925,0.0
CHINng__NYCMng,20,0.221682,6.424,0.0
DNVRng__KSCYng,20,0.200472,6.254,0.0
DNVRng__SNVAng,20,0.062725,5.335,0.0
HSTNng__KSCYng,20,0.392782,8.234,0.0
IPLSng__KSCYng,20,0.35719,7.778,0.0
KSCYng__SNVAng,20,0.445741,9.021,0.0
LOSAng__SNVAng,20,0.224804,6.45,0.0
NYCMng__WASHng,20,0.020615,5.105,0.0
SNVAng__STTLng,20,0.249544,6.663,0.0
ATLAM5__ATLAng,21,0.300311,7.146,0.0
ATLAng__CHINng,21,0.128172,5.735,0.0
ATLAng__HSTNng,21,0.478673,9.591,0.0
ATLAng__IPLSng,21,0.064452,5.344,0.0
ATLAng__WASHng,21,0.230505,6.498,0.0
CHINng__IPLSng,21,0.262153,6.776,0.0
CHINng__NYCMng,21,0.223625,6.44,0.0
DNVRng__KSCYng,21,0.197639,6.232,0.0
DNVRng__SNVAng,21,0.060067,5.32,0.0
HSTNng__KSCYng,21,0.475179,9.527,0.0
IPLSng__KSCYng,21,0.320248,7.356,0.0
KSCYng__SNVAng,21,0.548107,11.065,0.0
LOSAng__SNVAng,21,0.247572,6.645,0.0
NYCMng__WASHng,21,0.023338,5.119,0.0
SNVAng__STTLng,21,0.274285,6.89,0.0
ATLAM5__ATLAng,22,0.271211,6.861,0.0
ATLAng__CHINng,22,0.125964,5.721,0.0
ATLAng__HSTNng,22,0.502674,10.054,0.0
ATLAng__IPLSng,22,0.099802,5.554,0.0
ATLAng__WASHng,22,0.235262,6.538,0.0
CHINng__IPLSng,22,0.261014,6.766,0.0
CHINng__NYCMng,22,0.214668,6.367,0.0
DNVRng__KSCYng,22,0.171719,6.037,0.0
DNVRng__SNVAng,22,0.077375,5.419,0.0
HSTNng__KSCYng,22,0.468621,9.409,0.0
IPLSng__KSCYng,22,0.317247,7.323,0.0
KSCYng__SNVAng,22,0.555761,11.255,0.0
LOSAng__SNVAng,22,0.263626,6.79,0.0
NYCMng__WASHng,22,0.021816,5.112,0.0
SNVAng__STTLng,22,0.25868,6.745,0.0
ATLAM5__ATLAng,23,0.197952,6.234,0.0
ATLAng__CHINng,23,0.103551,5.578,0.0
ATLAng__HSTNng,23,0.419383,8.612,0.0
ATLAng__IPLSng,23,0.072625,5.392,0.0
ATLAng__WASHng,23,0.188112,6.158,0.0
CHINng__IPLSng,23,0.273178,6.879,0.0
CHINng__NYCMng,23,0.21106,6.338,0.0
DNVRng__KSCYng,23,0.159277,5.947,0.0
DNVRng__SNVAng,23,0.064943,5.347,0.0
HSTNng__KSCYng,23,0.411857,8.501,0.0
IPLSng__KSCYng,23,0.31564,7.306,0.0
KSCYng__SNVAng,23,0.482102,9.654,0.0
LOSAng__SNVAng,23,0.231022,6.502,0.0
NYCMng__WASHng,23,0.01811,5.092,0.0
SNVAng__STTLng,23,0.228495,6.481,0.0
ATLAM5__ATLAng,24,0.233891,6.526,0.0
ATLAng__CHINng,24,0.147243,5.863,0.0
ATLAng__HSTNng,24,0.450147,9.093,0.0
ATLAng__IPLSng,24,0.092874,5.512,0.0
ATLAng__WASHng,24,0.221727,6.424,0.0
CHINng__IPLSng,24,0.249733,6.664,0.0
CHINng__NYCMng,24,0.21509,6.37,0.0
DNVRng__KSCYng,24,0.149706,5.88,0.0
DNVRng__SNVAng,24,0.085998,5.47,0.0
HSTNng__KSCYng,24,0.424543,8.689,0.0
IPLSng__KSCYng,24,0.304448,7.189,0.0
KSCYng__SNVAng,24,0.525709,10.542,0.0
LOSAng__SNVAng,24,0.301418,7.157,0.0
NYCMng__WASHng,24,0.019626,5.1,0.0
SNVAng__STTLng,24,0.242291,6.599,0.0
ATLAM5__ATLAng,25,0.208202,6.315,0.0
ATLAng__CHINng,25,0.143219,5.836,0.0
ATLAng__HSTNng,25,0.457237,9.212,0.0
ATLAng__IPLSng,25,0.097666,5.541,0.0
ATLAng__WASHng,25,0.269523,6.845,0.0
CHINng__IPLSng,25,0.249493,6.662,0.0
CHINng__NYCMng,25,0.216945,6.385,0.0
DNVRng__KSCYng,25,0.183591,6.124,0.0
DNVRng__SNVAng,25,0.083478,5.455,0.0
HSTNng__KSCYng,25,0.448618,9.068,0.0
IPLSng__KSCYng,25,0.347079,7.658,0.0
KSCYng__SNVAng,25,0.517366,10.36,0.0
LOSAng__SNVAng,25,0.317434,7.325,0.0
NYCMng__WASHng,25,0.017757,5.09,0.0
SNVAng__STTLng,25,0.308332,7.229,0.0
ATLAM5__ATLAng,26,0.237396,6.556,0.0
ATLAng__CHINng,26,0.148881,5.875,0.0
ATLAng__HSTNng,26,0.451416,9.114,0.0
ATLAng__IPLSng,26,0.094366,5.521,0.0
ATLAng__WASHng,26,0.214867,6.368,0.0
CHINng__IPLSng,26,0.278527,6.93,0.0
CHINng__NYCMng,26,0.207155,6.306,0.0
DNVRng__KSCYng,26,0.177206,6.077,0.0
DNVRng__SNVAng,26,0.061298,5.327,0.0
HSTNng__KSCYng,26,0.43734,8.886,0.0
IPLSng__KSCYng,26,0.335375,7.523,0.0
KSCYng__SNVAng,26,0.499476,9.99,0.0
LOSAng__SNVAng,26,0.225573,6.456,0.0
NYCMng__WASHng,26,0.030777,5.159,0.0
SNVAng__STTLng,26,0.24664,6.637,0.0
ATLAM5__ATLAng,27,0.216162,6.379,0.0
ATLAng__CHINng,27,0.163684,5.979,0.0
ATLAng__HSTNng,27,0.43992,8.927,0.0
ATLAng__IPLSng,27,0.095788,5.53,0.0
ATLAng__WASHng,27,0.209137,6.322,0.0
CHINng__IPLSng,27,0.287769,7.02,0.0
CHINng__NYCMng,27,0.253242,6.696,0.0
DNVRng__KSCYng,27,0.161244,5.961,0.0
DNVRng__SNVAng,27,0.084332,5.46,0.0
HSTNng__KSCYng,27,0.40081,8.345,0.0
IPLSng__KSCYng,27,0.340332,7.58,0.0
KSCYng__SNVAng,27,0.500757,10.015,0.0
LOSAng__SNVAng,27,0.235213,6.538,0.0
NYCMng__WASHng,27,0.026523,5.136,0.0
SNVAng__STTLng,27,0.290878,7.051,0.0
ATLAM5__ATLAng,28,0.277768,6.923,0.0
ATLAng__CHINng,28,0.141343,5.823,0.0
ATLAng__HSTNng,28,0.443103,8.978,0.0
ATLAng__IPLSng,28,0.117426,5.665,0.0
ATLAng__WASHng,28,0.202797,6.272,0.0
CHINng__IPLSng,28,0.263303,6.787,0.0
CHINng__NYCMng,28,0.210227,6.331,0.0
DNVRng__KSCYng,28,0.171238,6.033,0.0
DNVRng__SNVAng,28,0.061682,5.329,0.0
HSTNng__KSCYng,28,0.444308,8.998,0.0
IPLSng__KSCYng,28,0.320711,7.361,0.0
KSCYng__SNVAng,28,0.559449,11.349,0.0
LOSAng__SNVAng,28,0.280216,6.947,0.0
NYCMng__WASHng,28,0.017129,5.087,0.0
SNVAng__STTLng,28,0.250187,6.668,0.0
ATLAM5__ATLAng,29,0.243472,6.609,0.0
ATLAng__CHINng,29,0.138143,5.801,0.0
ATLAng__HSTNng,29,0.45985,9.257,0.0
ATLAng__IPLSng,29,0.188171,6.159,0.0
ATLAng__WASHng,29,0.333627,7.503,0.0
CHINng__IPLSng,29,0.228821,6.484,0.0
CHINng__NYCMng,29,0.190321,6.175,0.0
DNVRng__KSCYng,29,0.168341,6.012,0.0
DNVRng__SNVAng,29,0.058809,5.312,0.0
HSTNng__KSCYng,29,0.461689,9.288,0.0
IPLSng__KSCYng,29,0.306108,7.206,0.0
KSCYng__SNVAng,29,0.52739,10.58,0.0
LOSAng__SNVAng,29,0.240251,6.581,0.0
NYCMng__WASHng,29,0.014208,5.072,0.0
SNVAng__STTLng,29,0.265821,6.81,0.0
ATLAM5__ATLAng,30,0.235196,6.538,0.0
ATLAng__CHINng,30,0.133623,5.771,0.0
ATLAng__HSTNng,30,0.45964,9.253,0.0
ATLAng__IPLSng,30,0.083518,5.456,0.0
ATLAng__WASHng,30,0.224491,6.447,0.0
CHINng__IPLSng,30,0.248873,6.657,0.0
CHINng__NYCMng,30,0.183053,6.12,0.0
DNVRng__KSCYng,30,0.169706,6.022,0.0
DNVRng__SNVAng,30,0.057154,5.303,0.0
HSTNng__KSCYng,30,0.417071,8.577,0.0
IPLSng__KSCYng,30,0.333127,7.498,0.0
KSCYng__SNVAng,30,0.525686,10.542,0.0
LOSAng__SNVAng,30,0.26862,6.836,0.0
NYCMng__WASHng,30,0.026965,5.139,0.0
SNVAng__STTLng,30,0.260468,6.761,0.0
ATLAM5__ATLAng,31,0.221333,6.421,0.0
ATLAng__CHINng,31,0.14458,5.845,0.0
ATLAng__HSTNng,31,0.47193,9.468,0.0
ATLAng__IPLSng,31,0.085277,5.466,0.0
ATLAng__WASHng,31,0.247913,6.648,0.0
CHINng__IPLSng,31,0.264287,6.796,0.0
CHINng__NYCMng,31,0.215839,6.376,0.0
DNVRng__KSCYng,31,0.164528,5.985,0.0
DNVRng__SNVAng,31,0.057598,5.306,0.0
HSTNng__KSCYng,31,0.453716,9.153,0.0
IPLSng__KSCYng,31,0.325675,7.415,0.0
KSCYng__SNVAng,31,0.525763,10.543,0.0
LOSAng__SNVAng,31,0.237839,6.56,0.0
NYCMng__WASHng,31,0.015045,5.076,0.0
SNVAng__STTLng,31,0.268768,6.838,0.0
ATLAM5__ATLAng,32,0.285859,7.001,0.0
ATLAng__CHINng,32,0.162807,5.972,0.0
ATLAng__HSTNng,32,0.525455,10.536,0.0
ATLAng__IPLSng,32,0.089062,5.489,0.0
ATLAng__WASHng,32,0.238975,6.57,0.0
CHINng__IPLSng,32,0.358961,7.8,0.0
CHINng__NYCMng,32,0.235237,6.538,0.0
DNVRng__KSCYng,32,0.304244,7.186,0.0
DNVRng__SNVAng,32,0.057806,5.307,0.0
HSTNng__KSCYng,32,0.514264,10.294,0.0
IPLSng__KSCYng,32,0.425214,8.699,0.0
KSCYng__SNVAng,32,0.572466,11.695,0.0
LOSAng__SNVAng,32,0.294256,7.085,0.0
NYCMng__WASHng,32,0.020927,5.107,0.0
SNVAng__STTLng,32,0.263398,6.788,0.0
ATLAM5__ATLAng,33,0.234718,6.534,0.0
ATLAng__CHINng,33,0.149813,5.881,0.0
ATLAng__HSTNng,33,0.46977,9.43,0.0
ATLAng__IPLSng,33,0.096719,5.535,0.0
ATLAng__WASHng,33,0.213483,6.357,0.0
CHINng__IPLSng,33,0.316258,7.313,0.0
CHINng__NYCMng,33,0.233993,6.527,0.0
DNVRng__KSCYng,33,0.182278,6.115,0.0
DNVRng__SNVAng,33,0.066584,5.357,0.0
HSTNng__KSCYng,33,0.44344,8.984,0.0
IPLSng__KSCYng,33,0.360982,7.825,0.0
KSCYng__SNVAng,33,0.523279,10.488,0.0
LOSAng__SNVAng,33,0.259408,6.751,0.0
NYCMng__WASHng,33,0.025773,5.132,0.0
SNVAng__STTLng,33,0.268055,6.831,0.0
ATLAM5__ATLAng,34,0.266953,6.821,0.0
ATLAng__CHINng,34,0.169954,6.024,0.0
ATLAng__HSTNng,34,0.62463,13.32,0.0
ATLAng__IPLSng,34,0.096639,5.535,0.0
ATLAng__WASHng,34,0.275103,6.898,0.0
CHINng__IPLSng,34,0.331825,7.483,0.0
CHINng__NYCMng,34,0.244788,6.621,0.0
DNVRng__KSCYng,34,0.194421,6.207,0.0
DNVRng__SNVAng,34,0.066799,5.358,0.0
HSTNng__KSCYng,34,0.615456,13.002,0.0
IPLSng__KSCYng,34,0.395335,8.269,0.0
KSCYng__SNVAng,34,0.751531,20.123,0.0
LOSAng__SNVAng,34,0.287092,7.014,0.0
